N 종목명 현재가 전일비 등락률 액면가 시가총액 상장주식 외국인비율 거래량 PER ROE
1,삼성전자,"64,200",400,-0.62%,100,"3,832,600","5,969,783",51.94,"11,623,673",7.97,17.07,
2,LG에너지솔루션,"553,000","13,000",-2.30%,500,"1,294,020","234,000",5.35,"287,747",167.32,5.75,
3,SK하이닉스,"86,300",600,-0.69%,"5,000","628,266","728,002",49.53,"2,761,835",28.17,3.56,
4,삼성바이오로직스,"783,000","3,000",+0.38%,"2,500","557,292","71,174",10.66,"41,003",68.62,11.42,
5,LG화학,"691,000","18,000",-2.54%,"5,000","487,793","70,592",48.35,"302,235",29.31,6.95,
6,삼성SDI,"670,000","2,000",-0.30%,"5,000","460,722","68,765",49.24,"173,101",24.16,12.52,
7,삼성전자우,"55,400",300,-0.54%,100,"455,879","822,887",72.20,"527,553",6.88,N/A,
8,현대차,"208,000","2,000",-0.95%,"5,000","439,986","211,532",31.97,"915,625",7.82,9.36,
9,기아,"90,100",100,+0.11%,"5,000","365,232","405,363",37.26,"2,243,990",6.75,14.57,
10,NAVER,"211,000","1,000",+0.48%,100,"346,144","164,049",48.12,"820,272",45.53,3.29,
11,POSCO홀딩스,"362,500","3,500",-0.96%,"5,000","306,571","84,571",40.33,"810,832",9.94,6.11,
12,카카오,"56,000",500,-0.88%,100,"249,568","445,657",26.09,"1,181,300",18.44,13.54,
13,셀트리온,"168,600",400,-0.24%,"1,000","246,714","146,331",20.53,"387,137",45.85,13.35,
14,포스코퓨처엠,"301,500","4,500",-1.47%,500,"233,552","77,463",7.04,"859,871",197.45,4.87,
15,현대모비스,"230,000","3,500",+1.55%,"5,000","216,856","94,285",37.32,"207,050",8.74,6.80,
16,삼성물산,"111,400","1,200",+1.09%,100,"208,192","186,887",17.92,"216,505",10.27,7.16,
17,KB금융,"49,200",600,+1.23%,"5,000","198,527","403,511",72.73,"1,453,519",4.60,9.17,
18,LG전자,"116,200","1,300",+1.13%,"5,000","190,159","163,648",29.11,"902,459",17.56,6.61,
19,신한지주,"35,300",500,+1.44%,"5,000","178,303","505,108",62.26,"1,274,865",4.04,9.70,
20,SK이노베이션,"178,200","2,100",-1.16%,"5,000","164,774","92,466",24.31,"447,586",10.64,8.49,
21,LG,"91,000",100,-0.11%,"5,000","143,144","157,301",35.96,"187,307",7.37,8.48,
22,삼성생명,"67,700",300,+0.45%,500,"135,400","200,000",15.84,"207,720",8.55,5.73,
23,한국전력,"19,340",100,+0.52%,"5,000","124,156","641,964",14.48,"1,655,636",-0.51,-46.91,
24,하나금융지주,"41,900","1,050",+2.57%,"5,000","123,984","295,903",70.54,"1,532,901",3.51,10.06,
25,SK,"166,300",700,-0.42%,200,"121,729","73,198",23.29,"81,536",11.31,5.13,
26,카카오뱅크,"25,000",0,0.00%,"5,000","119,192","476,767",13.86,"1,346,224",45.21,4.68,
27,KT&G,"85,200",400,+0.47%,"5,000","116,973","137,292",44.54,"215,238",11.52,11.00,
28,하이브,"277,500","2,000",-0.72%,500,"115,564","41,645",18.36,"205,798",219.37,1.87,
29,SK텔레콤,"50,500",750,+1.51%,100,"110,511","218,833",44.29,"801,056",12.11,7.97,
30,삼성화재,"230,000","1,000",-0.43%,500,"108,962","47,375",52.32,"53,923",9.09,9.70,
31,HD현대중공업,"115,200","2,900",+2.58%,"5,000","102,267","88,773",6.70,"240,324",-29.05,-6.47,
32,삼성전기,"135,900",100,-0.07%,"5,000","101,509","74,694",29.85,"283,743",10.75,13.76,
33,고려아연,"497,500","3,000",+0.61%,"5,000","98,819","19,863",21.53,"34,914",12.26,9.38,
34,두산에너빌리티,"15,330",30,-0.20%,"5,000","98,198","640,561",12.13,"3,638,536",-12.29,-11.70,
35,크래프톤,"198,800","1,700",-0.85%,100,"97,884","49,237",30.33,"198,006",19.50,10.29,
36,HMM,"19,680",10,-0.05%,"5,000","96,243","489,039",11.13,"1,096,095",0.95,64.98,
37,메리츠금융지주,"45,750","1,900",+4.33%,500,"95,260","208,218",16.59,"1,069,125",5.61,30.32,
38,삼성에스디에스,"117,000",300,-0.26%,500,"90,532","77,378",15.61,"113,664",8.23,14.23,
39,LG생활건강,"577,000","4,000",+0.70%,"5,000","90,117","15,618",34.70,"44,312",43.21,4.41,
40,우리금융지주,"11,820",140,+1.20%,"5,000","86,057","728,061",39.51,"2,227,535",2.74,11.51,
41,대한항공,"22,800",150,+0.66%,"5,000","83,954","368,221",15.06,"779,094",4.75,21.95,
42,엔씨소프트,"372,500","14,500",-3.75%,500,"81,779","21,954",44.98,"137,818",18.77,13.73,
43,KT,"31,250",100,-0.32%,"5,000","81,597","261,112",40.63,"1,170,427",6.46,7.99,
44,S-Oil,"72,400",200,+0.28%,"2,500","81,510","112,583",79.06,"166,920",4.01,27.20,
45,기업은행,"10,080",10,-0.10%,"5,000","80,381","797,426",13.84,"766,277",2.90,9.85,
46,한화솔루션,"46,150","1,250",+2.78%,"5,000","79,328","171,893",24.67,"1,388,386",24.76,4.21,
47,카카오페이,"56,600",400,-0.70%,500,"75,858","134,026",39.79,"177,487",139.07,3.08,
48,롯데케미칼,"175,000","5,600",+3.31%,"5,000","74,857","42,775",23.95,"221,602",102.40,0.43,
49,아모레퍼시픽,"115,900","1,100",-0.94%,500,"67,793","58,493",24.79,"154,345",59.53,2.81,
50,LG이노텍,"270,500","1,000",-0.37%,"5,000","64,020","23,667",21.05,"140,601",6.53,25.85,
